grupo,categoria,tipo_producto,titulo,pais_revista,revista,ISSN,categoria_revista,SJR_Q,ano,vol,fasc,pags,DOI,autores,id
URBANITAS,Artículos publicados,Publicado en revista especializada,Pertinencia del marketing digital en las empresas de Aburrá Sur,Colombia,Revista Escuela De Administración De Negocios ,0120-8160,B,Sin categoria,2020,88,N/A ,1 - 28,10.21158/01208160.n88.2020.2696,CARLOS ANDRES TREJOS GIL,222
URBANITAS,Artículos publicados,Publicado en revista especializada,Experiencias sobre preservación digital para bibliotecas y archivos: dos casos de estudio en Colombia,Colombia,Revista Interamericana De Bibliotecología ,0120-0976,B,-,2018,41,N/A ,267 - 276,N/A,"ALVARO OSORIO TUBERQUIA, CARLOS SUAREZ QUICENO",226
URBANITAS,Artículos publicados,Publicado en revista especializada,Perfil del guerrillero que regresaría de la ilegalidad en la selva a la legalidad,Colombia,Revista Lasallista de Investigacion ,1794-4449,C,Q4,2018,15, ,113 - 120,10.22507/rli.v15n1a13,"FERNANDO AQUILES DE LA SANTISI ARANGO NAVARRO, DELIO DAVID ARANGO NAVARRO",231
URBANITAS,Artículos publicados,Publicado en revista especializada,"Formación de capacidades para fomentar el diálogo entre culturas, a través de las TIC",Colombia,Revista Lasallista de Investigacion ,1794-4449,A2,Q3,2016,13,1 ,116 - 125,10.22507/rli.v13n1a10,GABRIEL JAIME LOTERO ECHEVERRI,235
URBANITAS,Artículos publicados,Publicado en revista especializada,Campañas educativas y de prevención. Una revisión sobre el consumo de sustancias psicoactivas en jóvenes universitarios de Colombia,Argentina,Interdisciplinaria ,1668-7027,B,Sin categoria,2021,38,N/A ,199 - 208,10.16888/interd.2021.38.2.13,"SANDRA MILENA RESTREPO ESCOBAR, EDWIN ANDRES SEPULVEDA CARDONA",215
URBANITAS,Artículos publicados,Publicado en revista especializada,The management style in funtion to empowerment fo the organization workers | Estilos gerenciales en función del empoderamiento de los colaboradores de la organización,Venezuela,Espacios ,0798-1015,Sin categoria,Sin categoria,2021,42,N/A ,1 - 11,10.48082/espacios-a21v42n02p03,"CARLOS ANDRES TREJOS GIL, VICTOR HUGO MERINO CORDOBA, CARMEN YSABEL MARTINEZ DE MERINO, LUZ MERY ORTIZ SANCHEZ",216
URBANITAS,Artículos publicados,Publicado en revista especializada,Hierarchy of values of students from Higher Education Institutions | Jerarquía de valores de los estudiantes de Instituciones de Educación Superior,Venezuela,Revista Venezolana de Gerencia ,1315-9984,Sin categoria,Q3,2020,25,N/A ,195 - 205,10.37960/rvg.v25i4,"VICTOR HUGO MERINO CORDOBA, CARMEN YSABEL MARTINEZ DE MERINO, LUZ MERY ORTIZ SANCHEZ, CARLOS ANDRES TREJOS GIL",217
URBANITAS,Artículos publicados,Publicado en revista especializada,Valor compartido y planeación estratégica: factores de transformación empresarial en el sector minero,Venezuela,Espacios ,0798-1015,Sin categoria,Sin categoria,2020,41,43 ,1 - 9,,JUAN DIEGO LOPEZ MEDINA,218
URBANITAS,Artículos publicados,Publicado en revista especializada,Measurement indicator to psychology online in Latin American in pandemic times - Indicador de Medición en Psicología online en América Latina en tiempos de pandemia,España,Revista Latina de Comunicacion Social ,1138-5820,Sin categoria,Q2,2020,78, ,457 - 476,10.4185/RLCS-2020-1485,"CARLOS ANDRES TREJOS GIL, HUBER YECID CASTRO ESCOBAR, OMAR AUGUSTO AMADOR SANCHEZ",219
URBANITAS,Artículos publicados,Publicado en revista especializada,Ontological implications in the learning of social distancing of COVID-19 pandemic - Implicaciones ontológicas en el aprendizaje a partir del distanciamiento social impuesto por la pandemia COVID-19.,Venezuela,Utopia y Praxis Latinoamericana ,2477-9555,Sin categoria,Sin categoria,2020,25,8 ,231 - 247,10.5281/zenodo.4087453,"CARLOS ANDRES TREJOS GIL, HUBER YECID CASTRO ESCOBAR",220
URBANITAS,Artículos publicados,Publicado en revista especializada,Mobile applications for management of academic processes in higher education (AMAES),Venezuela,Espacios ,0798-1015,Sin categoria,Sin categoria,2020,41, ,250 - 270,,"CARLOS ANDRES TREJOS GIL, DANIEL ALFREDO LANDINEZ MARTINEZ, SHIRLENE PATRICIA VEGA ROYERO, VICTOR HUGO MERINO CORDOBA, CARMEN YSABEL MARTINEZ DE MERINO, LUZ MERY ORTIZ SANCHEZ",221
URBANITAS,Artículos publicados,Publicado en revista especializada,The values of the students of the Business Administration of the University Catholica Luis Amigó - Medellin - Colombia - Sistema axiológico de los alumnos del Programa Contaduría Pública de la Universidad Católica Luis Amigó - Medellín - Colombia,Venezuela,Espacios ,0798-1015,Sin categoria,Sin categoria,2020,41,N/A ,12 - 18,,"CARLOS ANDRES TREJOS GIL, CARMEN YSABEL MARTINEZ DE MERINO, VICTOR HUGO MERINO CORDOBA, LUZ MERY ORTIZ SANCHEZ, JOSE ANTONIO LOPEZ GIRALDO, JAIME ALBERTO BELTRAN RIOS",223
URBANITAS,Artículos publicados,Publicado en revista especializada,Cognitive Training for the Treatment of Addictions Mediated by Information and Communication Technologies (ICT),Suiza,Future Internet ,1999-5903,Sin categoria,Q2,2020,12,2 ,1 - 19,10.3390/fi12020038,"SANDRA MILENA RESTREPO ESCOBAR, EDWIN ANDRES SEPULVEDA CARDONA",224
URBANITAS,Artículos publicados,Publicado en revista especializada,A Theological Approach to the Social Problems Associated with the Use of Information and Communications Technologies (ICT),Reino Unido,Global Media Journal ,1550-7521,Sin categoria,Q4,2018,16,31 ,1 - 9,10.13140/RG.2.2.32864.33287,JHOEEN SNEYDER ROJAS DIAZ,225
URBANITAS,Artículos publicados,Publicado en revista especializada,The e-Health internets,Colombia,Drugs And Addictive Behavior ,2463-1779,Sin categoria,Sin categoria,2018,3,2 ,161 - 165,https://doi.org/10.21501/issn.2463-1779,EDWIN ANDRES SEPULVEDA CARDONA,227
URBANITAS,Artículos publicados,Publicado en revista especializada,Las internets de e-Salud,Colombia,Drugs And Addictive Behavior ,2463-1779,Sin categoria,Sin categoria,2018,3,2 ,156 - 160,https://doi.org/10.21501/issn.2463-1779,EDWIN ANDRES SEPULVEDA CARDONA,228
URBANITAS,Artículos publicados,Publicado en revista especializada,e-Salud y el estado de las Apps para adicciones: un análisis articulado de los cibermedios para ecosistemas digitales pensados a la Atención Primaria en Salud,España,Salud y Drogas ,1578-5319,C,Q3,2018,18,N/A ,185 - 194,http://dx.doi.org/10.21134/haaj.v18i2.366,EDWIN ANDRES SEPULVEDA CARDONA,229
URBANITAS,Artículos publicados,Publicado en revista especializada,Desigualdad rural y conflicto interno armado en Colombia: un círculo vicioso,Chile,Izquierdas ,0718-5049,A2,Q1,2018,39,N/A ,209 - 228,N/A,"RAFAEL VARGAS CANO, JORGE IVAN GAVIRIA MESA, MONICA LUCIA GRANDA VIVEROS, JUAN DIEGO LOPEZ MEDINA",232
URBANITAS,Artículos publicados,Publicado en revista especializada,Media Competencies for the Citizenship Training of Teachers from Andean America: Colombia and Ecuador,Brasil,Paideia ,1982-4327,B,Q3,2017,27,66 ,80 - 89,http://dx.doi.org/10.1590/1982-43272766201710,LIGIA INES ZULUAGA ARIAS,234
URBANITAS,Artículos publicados,Publicado en revista especializada,Semiótica de la Marca como herramienta para innovar en PYMES de Colombia,España,Revista Internacional De Humanidades ,2253-6825,Sin categoria,Sin categoria,2016,5,1 ,118 - 130,,GABRIEL JAIME LOTERO ECHEVERRI,236
URBANITAS,Artículos publicados,Publicado en revista especializada,Educación para la ciudadanía en la era de las wikis.,Colombia,Revista Poliantea ,2145-3101,Sin categoria,Sin categoria,2014,10,19 ,199 - 212,10.15765/plnt.v10i19.579,GABRIEL JAIME LOTERO ECHEVERRI,237
URBANITAS,Artículos publicados,Publicado en revista especializada,Educar mientras se informa: una propuesta de resignificación de la prensa tradicional,Colombia,Signo y Pensamiento ,0120-4823,Sin categoria,Sin categoria,2014,23,64 ,30 - 44,http://revistas.javeriana.edu.co/index.php/signoypensamiento/article/view/8503/6842,"NELIDA MARIA MONTOYA RAMIREZ, LIGIA INES ZULUAGA ARIAS",239
URBANITAS,Artículos publicados,Publicado en revista especializada,CONVERSACIONES AL SON DE LA RADIO,Colombia,Folios ,0123-4870,Sin categoria,Sin categoria,2013,29,N/A ,95 - 111,,NUBIA AMPARO MESA GRANDA,240
URBANITAS,Artículos publicados,Publicado en revista especializada,Aprehenciones abiertas sobre el retorno de la educación a su elemento humanista,Colombia,Nodos Y Nudos ,0122-4328,Sin categoria,Sin categoria,2013,4,35 ,108 - 112,,PABLOANDRES HUERTAS OBREGOSO,241
URBANITAS,Artículos publicados,Publicado en revista especializada,Hay que competir para poder competir,España,Revista Internacional de Deportes Colectivos ,1989-841X,Sin categoria,Sin categoria,2013,6,N/A ,4 - 19,,JUAN DIEGO LOPEZ MEDINA,242
URBANITAS,Artículos publicados,Publicado en revista especializada,EXPERIENCIASDE APRENDIZAJE SIGNIFICATIVAS CON JÓVENES. EL SENTIDO DE USAR LOS MEDIOS DE LA COMUNICACIÓN Y LAS NUEVAS TECNOLOGÍAS EN CONTEXTOS LOCALES,Colombia,Folios ,0123-1022,Sin categoria,Sin categoria,2013,29,N/A ,157 - 175,,CESAR AUGUSTO TAPIAS HERNANDEZ,243
URBANITAS,Artículos publicados,Publicado en revista especializada,"Entre ruinas, lugares y objetos residuales de la memoria. La memoria en la ciudad de Medellín",Chile,Bifurcaciones: Revista De Estudios Culturales Urbanos ,0718-1132,Sin categoria,Sin categoria,2012,11, , - ,,PAOLO ANTONIO VILLALBA STORTI,244
URBANITAS,Artículos publicados,Publicado en revista especializada,Estudio fotográfico: embellecimiento urbano y usuarios regulares de Ciudad Botero,Colombia,Revista Politecnica ,1900-2351,Sin categoria,Sin categoria,2012,8,N/A ,125 - 139,,"FERNANDO AQUILES DE LA SANTISI ARANGO NAVARRO, KATHYA JEMIO ARNEZ",245
URBANITAS,Artículos publicados,Publicado en revista especializada,Publicidad Social en Colombia,Colombia,Anagramas : Rumbos Y Sentidos De La Comunicación ,1692-2522,Sin categoria,Sin categoria,2011,67, ,1 - 3,,RAFAEL MAURICIO PARIS RESTREPO,246
URBANITAS,Artículos publicados,Publicado en revista especializada,De la Razón Práctica a la Razón Responsable,Colombia,Anagramas : Rumbos Y Sentidos De La Comunicación ,1692-2522,Sin categoria,Sin categoria,2011,68, ,1 - 3,,RAFAEL MAURICIO PARIS RESTREPO,247
URBANITAS,Artículos publicados,Publicado en revista especializada,Antagonistas en el cine de Hitchcock: Objetos Pérfidos y Experiencias Desencadenantes.,Colombia,Kinetoscopio ,0121-3776,Sin categoria,Sin categoria,2011,21,95 ,59 - 60,,RAFAEL MAURICIO PARIS RESTREPO,248
URBANITAS,Artículos publicados,Publicado en revista especializada,MICMACS: El Elogio de la Locura,Colombia,Kinetoscopio ,0121-3776,Sin categoria,Sin categoria,2011,21,93 ,59 - 61,,RAFAEL MAURICIO PARIS RESTREPO,249
URBANITAS,Artículos publicados,Publicado en revista especializada,"El trabajo interdisciplinario: acercamiento y realidades. El caso de Educación, Ingeniería de Sistemas y Comunicación Social",Colombia,(0123-9864) Revista Fundación Universitaria Luis Amigó ,0123-9864,Sin categoria,Sin categoria,2010,20,N/A ,30 - 35,,ANCIZAR VARGAS LEON,250
SISCO,Artículos publicados,Publicado en revista especializada,Análisis cuantitativo del ordenamiento de alúmina anódica nanoporosa obtenida a diferentes potenciales de anodizado,Colombia,Revista De Ingeniería Universidad Distrital Francisco José De Caldas ,2344-8393,B,Sin categoria,2021,26, , - ,10.14483/23448393.16164,"FELIX ECHEVERRIA ECHEVERRIA, SARA MARIA AGUILAR SIERRA",1194
