integrantes,unidad,programa,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,id_scholar,h_index,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
GERMAN ANDRES TORRES ESCOBAR,CENTRO REGIONAL BOGOTA,PSICOLOGÍA,Integrante,5,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000127713,AYELEN,2017-07-01, Actual,Maestría/Magister,Sin clasificar,NA,0,5,4,0,0,0,4
BENILDA LAYNE BERNAL,CENTRO REGIONAL BOGOTA,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000551988,AYELEN,2008-09-01, Actual,Maestría/Magister,Sin clasificar,c1XCBZ0AAAAJ,2,2,2,2,0,0,18
LAURA STELLA PARRA ESPITIA,CENTRO REGIONAL BOGOTA,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001471845,AYELEN,2016-02-01, Actual,Maestría/Magister,Sin clasificar,NA,0,1,3,0,0,0,21
ROLAN CORREA LOPEZ,CENTRO REGIONAL BOGOTA,PSICOLOGÍA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001595362,AYELEN,2018-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,5,0,0,0,0,22
VIVIANA CARMENZA AVILA NAVARRETE,CENTRO REGIONAL BOGOTA,PSICOLOGÍA,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001527700,AYELEN,2013-06-01, Actual,Maestría/Magister,Sin clasificar,pjSE_C0AAAAJ,2,3,0,1,0,0,44
HUBER YECID CASTRO ESCOBAR,CENTRO REGIONAL MONTERIA,LICENCIATURA EN EDUCACIÓN INFANTIL,Integrante,20,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000525693,CALIDAD DE VIDA,2014-08-01, Actual,Maestría/Magister,Sin clasificar,lOUtSkIAAAAJ&hl,0,3,1,0,0,0,10
ARGEMIRO JOSE AMAYA BUELVAS,CENTRO REGIONAL MONTERIA,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001294644,CALIDAD DE VIDA,2015-05-01, Actual,Maestría/Magister,Sin clasificar,FmH8nIkAAAAJ&hl,1,2,0,0,0,0,7
CARLOS RODRIGUEZ SANTOS,CENTRO REGIONAL MONTERIA,DERECHO,Integrante,12,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000763330,CALIDAD DE VIDA,2015-02-01, Actual,Especialización,Sin clasificar,NRo7HZIAAAAJ,1,0,1,0,0,0,5
LIVIA DIAZ GONZALEZ,CENTRO REGIONAL MONTERIA,PSICOLOGÍA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000945765,CALIDAD DE VIDA,2015-03-01, Actual,Doctorado,Sin clasificar,NA,0,0,0,0,0,0,31
MARIA CLAUDIA DIAZ SOTOMAYOR,CENTRO REGIONAL MONTERIA,PSICOLOGÍA,Integrante,4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001445228,CALIDAD DE VIDA,2020-01-01, Actual,Maestría/Magister,Sin clasificar,NA,0,0,0,0,0,0,8
